Title,Date,Venue/Journal,Authors,Key word list
"Mobile social networks: Design requirements, architecture, and state-of-the-art technology",2017,Computer Communications,"Zhifei Mao1, Yuming Jiang1, Geyong Min2, Supeng Leng3, Xiaolong Jin4","['1Norwegian University of Science and Technology,', '2University of Exeter,', '3University of Electronic Science and Technology of China,']"
Kairoscope: managing time perception and scheduling through social event coordination,2011,Human Factors in Computing Systems,"Reed Martin, Henry Holtzman","['Time perception', 'Social relation', 'Social computing']"
End-user place annotation on mobile devices: a comparative study,2006,Human Factors in Computing Systems,"Jingtao Wang, John F. Canny","['Usability', 'Multimedia', 'Mobile device']"
Mining Cell Transition Data,2009,Arxiv,Kari Laasonen,"['Phone', 'Online algorithm', '+5']"
Methods and apparatuses for context determination,2010,Arxiv,"Andrea Hategan, Jussi Leppanen, Antti Eronen","['Identifier', 'Engineering', 'Data mining']"
Geographic `Place' and `Community Information' Preferences,2008,Conference on Computer Supported Cooperative Work,"Quentin Jones1, Sukeshini A. Grandhi1, Samer Karam1, Steve Whittaker2, Changqing Zhou3","['1New Jersey Institute of Technology,', '2University of Sheffield,', '3University of Minnesota']"
The Tradeoff between Energy Efficiency and User State Estimation Accuracy in Mobile Sensing,2009,"Mobile Computing, Applications, and Services","Yi Wang1, Bhaskar Krishnamachari1, Qing Zhao2, Murali Annavaram1","['2University of California', 'Simulation', 'Sampling (statistics)']"
Identifying Meaningful Places,2009,Arxiv,Petteri Nurmi,"['Mobile phone', 'Humanâ€“computer interaction', '+5']"
Placer++: Semantic place labels beyond the visit,2015,IEEE International Conference on Pervasive Computing and Communications,"John Krumm, Dany Rouhana, Ming-Wei Chang","['Placer mining', 'Government', 'Decision tree']"
Lightweight Extraction of Frequent Spatio-Temporal Activities from GPS Traces,2010,Real-Time Systems Symposium,"Athanasios Bamis, Andreas Savvides","['Real-time computing', 'Online algorithm', 'Mobile radio']"
An adaptive location prediction model based on fuzzy control,2011,Computer Communications,"Theodoros Anagnostopoulos, Christos Anagnostopoulos, Stathes Hadjiefthymiades","['Proactivity', 'Predictability', 'Mobile computing']"
A user-adaptive city guide system with an unobtrusive navigation interface,2009,Ubiquitous Computing,"Yuichiro Takeuchi, Masanori Sugimoto","['Simulation', 'Recommender system', 'Proper noun']"
Using personnel movements for indoor autonomous environment discovery,2003,IEEE International Conference on Pervasive Computing and Communications,"Robert K. Harle, Andy Hopper","['Ubiquitous computing', 'Simulation', 'Robotics']"
Mobility Collector,2014,Arxiv,"Adrian C. Prelipcean, GyÅ‘zÅ‘ GidÃ_falvi, Yusak O. Susilo","['CITE', 'share', 'CITATIONS* (13)']"
Photographing a City: An Analysis of Place Concepts Based on Spatial Choices,2009,Spatial Cognition and Computation,"Christoph Schlieder, Christian Matyas","['Recommender system', 'Popularity', 'Data mining']"
Techniques for visual integration of meeting space in calendar systems,2008,Arxiv,Jitender Bisht,"['Simulation', 'Scheduling (computing)', 'Humanâ€“computer interaction']"
"A grid-based clustering method for mining frequent trips from large-scale, event-based telematics datasets",2009,"Systems, Man and Cybernetics","Qing Cao, Bouchra Bouqata, Patricia D. Mackenzie, Daniel John Messier, Joseph James Salvo","['Tracking system', 'Telematics', 'TRIPS architecture']"
Mobility prediction based on an ant system,2008,Computer Communications,"Mehammed Daoui1, Abdelaziz Mzoughi2, Mustapha Lalam1, Malika Belkadi1, Rachida Aoudjit1","['2Institut de Recherche en, Informatique de Toulouse, UPS, France', 'Wireless network', 'Service quality']"
Exploiting multiple radii to learn significant locations,2005,Location- and Context-Awareness,"Norio Toyama, Takashi Ota, Fumihiro Kato, Youichi Toyota, Takashi Hattori","['Keio University', 'Ubiquitous computing', 'Radius']"
Defining and evaluating context for wearable computing,2004,International Journal of Human-computer Studies \/ International Journal of Man-machine Studies,"Huw William Bristow, Chris Baber, James Cross, James F. Knight, Sandra I. Woolley","['Wearable computer', 'Identifier', 'Humanâ€“computer interaction']"
Pervasive Computing in the Home and Community,2006,Arxiv,"Don Patterson, Lin Liao, Henry Kautz, Dieter Fox","['Humanâ€“computer interaction', 'Context-aware pervasive systems', '+1']"
Predicting user's movement with a combination of self-organizing map and markov model,2006,International Conference on Artificial Neural Networks,"Sang-Jun Han, Sung-Bae Cho","['Ubiquitous computing', 'Self-organizing map', 'Mobile computing']"
Enhancing Mobile Recommender Systems with Activity Inference,2009,"International Conference on User Modeling, Adaptation, and Personalization","Kurt Partridge, Bob Price","['User modeling', 'Recommender system', 'Prior probability']"
Mining Check-In History for Personalized Location Naming,2014,ACM Transactions on Intelligent Systems and Technology,"Defu Lian1, Xing Xie2","['2Microsoft', 'Location-based service', 'Local search (optimization)']"
"Using Twitter for Next-Place Prediction, with an Application to Crime Prediction",2015,IEEE Symposium Series on Computational Intelligence,"Mingjun Wang, Matthew S. Gerber","['Social network', 'Social media', 'Publication']"
Extending Context Spaces Theory by Predicting Run-Time Context,2009,Arxiv,"Andrey Boytsov, Arkady B. Zaslavsky, KÃ¥re Synnes","['Testbed', 'Markov model', 'Markov chain']"
How do people's concepts of place relate to physical locations?,2005,International Conference on Human-Computer Interaction,"Changqing Zhou, Pamela J. Ludford, Dan Frankowski, Loren G. Terveen","['Wireless network', 'User interface', 'The Internet']"
Mining Significant Places from Cell ID Trajectories: A Geo-grid Based Approach,2012,Mobile Data Management,"Tengfei Bao1, Huanhuan Cao2, Qiang Yang3, Enhong Chen1, Jilei Tian2","['2Nokia,', '3Hong Kong University of Science and Technology', 'Mobile telephony']"
The method for extraction of meaningful places based on behavior information of user,2010,Arxiv,"Seung-Hoon Lee, Bo-Keong Kim, Tae-Bok Yoon, Jee-Hyong Lee","['Usability', 'Physical information', '+7']"
iRoute: Cognitive Support for Independent Living Using BDI Agent Deliberation,2011,Practical Applications of Agents and Multi-Agent Systems,"Shabbir Hossain1, Kasper Hallenborg1, Yves Demazeau2","['2Centre national de la recherche scientifique', 'Knowledge management', 'Independent living']"
Show Me How You Move and I Will Tell You Who You Are,2011,Transactions on Data Privacy,"SÃ©bastien Gambs1, Marc-Olivier Killijian2, Miguel NÃºÃ_ez del Prado Cortez2","['2University of Toulouse', 'Social network', 'Sampling (statistics)']"
Scalable mining of common routes in mobile communication network traffic data,2012,International Conference on Pervasive Computing,Olof GÃ¶rnerup,"['Scalability', 'Probabilistic method', 'Mobile telephony']"
Modeling Herds and Their Evolvements from Trajectory Data,2008,Geographic Information Science,"Yan Huang, Cai Chen, Pinliang Dong","['Trajectory', 'Spatial ecology', 'Machine learning']"
A study on context prediction and adaptivity,2007,International Conference on Digital Information Management,"Stephan Sigg, Sandra Haseloff, Klaus David","['Machine learning', 'Information and Communications Technology', 'Global Positioning System']"
Semantic place labels,2013,Arxiv,"John C. Krumm, Dany Rouhana, Ming-Wei Chang, Aman Kansal, Piali Choudhury","['User information', 'Pattern recognition', 'Global Positioning System']"
Identifying locations from geospatial trajectories,2016,Journal of Computer and System Sciences,"Alasdair Thomason, Nathan Griffiths, Victor Sanchez","['Mathematics', 'Geospatial analysis', 'Extractor']"
Location Aware Public/Personal Diversity of Information Services based on embedded RFID Platform,2009,International Conference on Advanced Communication Technology,"Ming-Shen Jian1, Shu Hui Hsu2","['2International Megatrend Smart Technology Ltd., Kaohsiung City, Taiwan', 'System integration', 'Service system']"
RFID Applications and Challenges,2013,Arxiv,"Ming-Shen Jian, Jain-Shing Wu","['Track and trace', 'Radio-frequency identification', '+3']"
Grounded Contextual Reasoning enabling Innovative Mobile Services,2005,Arxiv,"van Herma Kranenburg, Alfons Salden, Tom Broens, Johan Koolwaaij","['User profile', 'Support function', 'Semantic reasoner']"
Intelligent Trajectory Classification for Improved Movement Prediction,2014,"Systems, Man and Cybernetics","Christos Anagnostopoulos1, Stathes Hadjiefthymiades2","['2National and Kapodistrian University of Athens', 'Trajectory', 'Optimal stopping']"
A Framework for Personalizing Action History Viewer,2004,Arxiv,"Masaki Ito, Jin Nakazawa, Hideyuki Tokuda","['Visualization', 'Visual language', 'Ubiquitous computing']"
Mining Location-based Social Networks: A Predictive Perspective.,2015,IEEE Data(base) Engineering Bulletin,"Defu Lian1, Xing Xie2, Fuzheng Zhang2, Nicholas Jing Yuan2, Tao Zhou2","['1University of Electronic Science and Technology of China,', '2Microsoft', 'Social network']"
Collective suffix tree-based models for location prediction,2013,Ubiquitous Computing,"Muawya Habib Sarnoub Eldaw, Mark Levene, George Roussos","['Suffix tree', 'Profiling (computer programming)', 'Mean squared error']"
Context Awareness on Mobile Devices,2015,Applied Mechanics and Materials,"Ian Anderson1, Michael Mccarthy2","['2Wuhan University', 'Point of interest', 'Mobile station']"
Understanding the concerns of teachers about leveraging mobile technology to facilitate outdoor social inquiry learning: the EduVenture experience,2016,Interactive Learning Environments,"Morris Siu yung Jong1, Chin Chung Tsai2","['2National Taiwan University of Science and Technology', 'Technology integration', 'Teaching method']"
Intuitive network applications: Learning user context and behavior,2008,Bell Labs Technical Journal,"Nilton Bila1, Jin Cao2, Robert Dinoff2, Tin Kam Ho2, Bharat Kumar2","['1University of Toronto,', '2Bell Labs', 'Simulation']"
HABITS: A History Aware Based Wi-Fi Indoor Tracking System,2008,Arxiv,"E Furey, Kj Curran, P McKevitt","['Tracking system', 'Real-time computing', 'Mobile device']"
Using Location-Based Social Media for Ranking Individual Familiarity with Places: A Case Study with Foursquare Check-in Data,2015,Arxiv,Wangshu Wang,"['Weighting', 'Spatial cognition', 'Social media']"
PePe field study: constructing meanings for locations in the context of mobile presence,2006,Human-Computer Interaction with Mobile Devices and Services,"Jaakko T. Lehikoinen, Anne Kaikkonen","['User experience design', 'Point of interest', 'Multimedia']"
HABITS: a Bayesian filter approach to indoor tracking and location,2012,International Journal of Bio-inspired Computation,"Eoghan Furey, Kevin Curran, Paul McKevitt","['Wireless network', 'Tracking system', 'Real-time locating system']"
Mining periodic patterns in spatio-temporal sequences at different time granularities,2009,Intelligent Data Analysis,"Sezin Karli, Yucel Saygin","['Periodic graph (geometry)', 'Machine learning', 'Granularity']"
A location-aware user tracking and prediction system,2009,Global Information Infrastructure and Networking Symposium,"I. Al Ridhawi1, M. Aloqaily1, A. Karmouch1, N Agoulmine2","['2LRSM - ENSIIE, 18 AllÃ©e Jean Rostand, 91025, Evry, France', 'Tracking system', 'Systems architecture']"
An evidence-based mobility prediction agent architecture,2003,Lecture Notes in Computer Science,"Nancy Samaan, Ahmed Karmouch","['Wireless network', 'Spatial analysis', 'Quality of service']"
This Time It's Personal: from PIM to the Perfect Digital Assistant,2008,Human Factors in Computing Systems,"m.c. schraefel, Paul AndrÃ©, Max Van Kleek","['Simulacrum', 'Semantics', 'Reuse']"
Location Prediction for Improvement of Communication Protocols in Wireless Communications: Considerations and Future Directions,2011,Arxiv,"Sohail Jabbar, Shaf Alam, Abid Ali Minhas","['Mobility model', 'Mobile ad hoc network', '+3']"
Exploiting human state information to improve GPS sampling,2011,IEEE International Conference on Pervasive Computing and Communications,"Athanasios Bamis, Andreas Savvides","['Sampling (statistics)', 'Sampling (signal processing)', 'Mobile phone tracking']"
mPATH: an interactive visualization framework for behavior history,2005,Advanced Information Networking and Applications,"Masaki Ito, Jin Nakazawa, Hideyuki Tokuda","['Visualization', 'Visual programming language', 'Ubiquitous computing']"
Cell Oscillation Resolution in Mobility Profile Building,2012,arXiv: Networking and Internet Architecture,"Shafqat Ali Shad, Enhong Chen","['Oscillation', 'Location-based service', '+6']"
Toward an Intelligent Brokerage Platform: Mining Backhaul Opportunities in Telematics Data,2009,Transportation Research Record,"Jonathan Muckell, Qing Cao, Patricia Denise Mackenzie, Daniel Messier, Joseph Salvo","['Transport engineering', 'Trailer', 'Tractor']"
Controlling Uncertainty in Personal Positioning at Minimal Measurement Cost,2008,Ubiquitous Intelligence and Computing,"Hui Fang1, Wen-Jing Hsu1, Larry Rudolph2","['2Massachusetts Institute of Technology', 'Normal distribution', 'Mathematical optimization']"
Extracting Meaningful User Locations from Temporally Annotated Geospatial Data,2014,The Internet of Things,"Alasdair Thomason, Nathan Griffiths, Matthew Leeke","['Open problem', 'Geospatial analysis', 'Data mining']"
Trajectory Prediction in Campus Based on Markov Chains,2016,International Conference on Big Data,"Bonan Wang, Yihong Hu, Guochu Shou, Zhigang Guo","['Trajectory', 'Markov chain', 'Machine learning']"
Mobility corresponding location-aware information services based on embedded RFID platform,2012,Ubiquitous Computing,"Mingâ€“Shen Jian1, Taâ€“Yuan Chou2, Shu Hui Hsu3","['2National Sun Yat-sen University,', '3International Megatrend Smart Technology Ltd. BVI, Taiwan', 'Software deployment']"
An automatic Wi-Fi-based approach for extraction of user places and their context,2015,International Journal of Distributed Sensor Networks,"Luka Vidmar1, Mitja Å tular1, Andrej Kos2, MatevÅ_ PogaÄçnik2","['2University of Ljubljana', 'Recall', 'Precision and recall']"
Exploiting Immunological Properties for Ubiquitous Computing Systems,2004,International Conference on Artificial Immune Systems,"Philipp H. Mohr, Nick S. Ryan, Jon Timmis","['Ubiquitous computing', 'Mobile computing', 'Distributivity']"
HiPCV: History based learning model for predicting contact volume in Opportunistic Networks,2015,"World of Wireless, Mobile and Multimedia Networks","Mehrab Shahriar1, Yonghe Liu1, Sajal K. Das2","['2Missouri University of Science and Technology', 'Robustness (computer science)', 'Mobility model']"
Tool use as gesture: new challenges for maintenance and rehabilitation,2010,Arxiv,"Manish Parekh, Chris Baber","['Ubiquitous computing', 'Tangible user interface', 'Simulation']"
Parameter Optimisation for Location Extraction and Prediction Applications,2015,Dependable Autonomic and Secure Computing,"Alasdair Thomason, Nathan Griffiths, Victor Sanchez","['Unsupervised learning', 'Representativeness heuristic', 'Machine learning']"
Location Prediction Based on a Sector Snapshot for Location-Based Services,2014,Journal of Network and Systems Management,"Mohammad Sharif Daoud1, Aladdin Ayesh1, Mustafa Al-Fayoumi2, Adrian A. Hopgood3","['2Salman bin Abdulaziz University,', '3Sheffield Hallam University', 'Snapshot (computer storage)']"
User movement prediction based on traffic topology for value added services,2011,International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,"Marin Vukovic, Dragan Jevtic, Ignac Lovrek","['Topology', 'Simulation', 'Context awareness']"
Motion detection based fine grained place extraction on mobile cellular phone,2011,International Conference on Pervasive Computing,"Shuangquan Wang1, Zhenyu Chen1, Yiqiang Chen1, Kuifei Yu2","['2Nokia', 'Timing advance', 'Real-time computing']"
Structuring and Presenting Lifelogs Based on Location Data,2014,Arxiv,"Basel Kikhia, Andrey Boytsov, Josef Hallberg, Zaheer ul Hussain Sani, HÃ¥kan Jonsson","['LuleÃ¥ University of Technology', 'Structuring', 'Inference']"
Modeling and Learning Relevant Locations for a Mobile Semantic Desktop Application,2010,Arxiv,"Wolfgang Woerndl1, Florian Schulze1, Valentina Yordanova2","['2Ludwig Maximilian University of Munich', 'Semantic desktop', 'Process ontology']"
Refining visualization reference model for context information,2005,Ubiquitous Computing,"Antti Aaltonen, Juha Lehikoinen","['Visualization', 'Spatial contextual awareness', 'Multimedia']"
An Online Adaptive Model for Location Prediction,2009,International Conference on Autonomic Computing,"Theodoros Anagnostopoulos, Christos Anagnostopoulos, Stathes Hadjiefthymiades","['k-means clustering', 'Ubiquitous computing', 'Machine learning']"
Context and location aware public/personal information service based on RFID system integration,2008,WSEAS TRANSACTIONS on SYSTEMS archive,"Ming-Shen Jian1, Kuen Shiuh Yang2, Chung-Lun Lee2","['2International Semiconductor Technology Ltd., Kaohsiung City', 'The Internet', 'System integration']"
Matrix factorization on semantic trajectories for predicting future semantic locations,2017,"Wireless and Mobile Computing, Networking and Communications","Antonios Karatzoglou, Stefan Christian Lamp, Michael Beigl","['Semantics', 'Probabilistic latent semantic analysis', 'Pattern recognition']"
Discovering Regularity in Mobility Patterns to Identify Predictable Aggregate Supply for Ridesharing,2018,Transportation Research Record,"Ivan Mendoza1, Clas Rydergren2, Chris M. J. TampÃ¨re1","['2LinkÃ¶ping University', 'Transport engineering', 'Engineering']"
Context Trees: Augmenting Geospatial Trajectories with Context,2016,ACM Transactions on Information Systems,"Alasdair Thomason, Nathan Griffiths, Victor Sanchez","['Usage data', 'Machine learning', 'Hierarchical database model']"
Energy-Efficient Update Protocols for Mobile User Context,2012,Advanced Information Networking and Applications,"Stefan Foll, Klaus Herrmann, Kurt Rothermel","['User interface', 'Trade-off', 'Mobile telephony']"
Prioritizing a content item for a user,2012,Arxiv,Yifang Liu,"['User modeling', 'Prioritization', 'Data mining']"
Improving Network Connectivity in Ad Hoc Networks Using Particle Swarm Optimization and Agents,2011,Arxiv,"Abdullah Konak1, Orhan Dengiz2, Alice E. Smith3","['2DnD Technical Solutions,', '3Auburn University', 'Wireless ad hoc network']"
Seamless Interfacing: Situation Awareness through Action Recognition and Spatio-Temporal Reasoning,2014,Arxiv,"Stephan Puls, Heinz WÃ¶rn","['Situation awareness', 'Psychology', 'Knowledge management']"
Probabilistic indoor human movement modeling to aid first responders,2013,Ambient Intelligence,"Eoghan Furey, Kevin Curran, Paul Mc Kevitt","['Tracking system', 'Simulation', 'Real-time locating system']"
Automated Multimedia Diaries of Mobile Device Users Need Summarization,2002,Human-Computer Interaction with Mobile Devices and Services,"Marc Gelgon, Kevin Tilhou","['Wearable computer', 'User interface', 'Structuring']"
Groupanizer: a method to correlate multi-users position with daily moments,2006,IEEE International Conference on Pervasive Computing and Communications,"Jean Olivier Caron, Yoshihiro Kawahara, Hiroyuki Morikawa, Tomonori Aoyama","['Semantic integration', 'Scheduling (computing)', 'Ontology']"
A New Routing Area Displacement Prediction for Location-Based Services based on an Enhanced Ant Colony,2014,"Systems, Man and Cybernetics","Mohammad Sh. Daoud1, Adrian A. Hopgood2, Mustafa A. Al-Fayoumi3, Hani M. Mimi4","['2Sheffield Hallam University,', '3Salman bin Abdulaziz University,', '4Al-Zaytoonah University of Jordan']"
A Demonstration of Mining Significant Places from Cell ID Trajectories through a Geo-grid Based Approach,2012,Mobile Data Management,"Tengfei Bao1, Huanhuan Cao2, Qiang Yang3, Enhong Chen1, Jilei Tian2","['2Nokia,', '3Hong Kong University of Science and Technology', 'Mobile telephony']"
There and Back Again: Detecting Regularity in Human Encounter Communities,2017,IEEE Transactions on Mobile Computing,"Matthew James Williams1, Roger Marcus Whitaker2, Stuart Michael Allen2","['2Cardiff University', 'Social network', 'Routing protocol']"
On-Line Location Prediction Exploiting Spatial and Velocity Context,2015,International Journal of Wireless Information Networks,"Theodoros Anagnostopoulos1, Christos Anagnostopoulos2, Stathes Hadjiefthymiades3, Arkady B. Zaslavsky4","['2University of Glasgow,', '3National and Kapodistrian University of Athens,', '4Commonwealth Scientific and Industrial Research Organisation']"
An Adaptive Machine Learning Algorithm for Location Prediction,2011,International Journal of Wireless Information Networks,"Theodoros Anagnostopoulos1, Christos Anagnostopoulos2, Stathes Hadjiefthymiades1","['2Ionian University', 'k-means clustering', 'Wake-sleep algorithm']"
WLAN Interface Management on Mobile Devices,2008,Arxiv,Mohammad Hossein Falaki,"['The Internet', 'Mobile device', '+7']"
Predicting unexpected influxes of players in EVE online,2014,Computational Intelligence and Games,"Roman Garnett1, Thomas Gartner1, Timothy Ellersiek2, Eyjolfur Gudmondsson3, Petur Oskarsson3","['2Heidelberg University,', '3CCP Games, Reykjavik, Iceland', 'Universe']"
"Context reasoning, context prediction and proactive adaptation in pervasive computing systems",2011,Arxiv,Andrey Boytsov,"['Distributed computing', 'Computer science', 'The paradigm of pervasive computing aims to integrate the computing technologies in a graceful and transparent manner, and make computing solutions available anywhere and at any time. Different asp ...']"
Goal and path prediction based on user's moving path data,2008,International Conference on Ubiquitous Information Management and Communication,"Tae Bok Yoon, Jee-Hyong Lee","['Similarity measure', 'Path analysis (computing)', 'Machine learning']"
Human Context Sensing in Smart Cities,2017,Arxiv,"Houbing Song, Ravi Srinivasan, Tamim Sookoor, Sabina Jeschke","['Wearable computer', 'Smart city', 'Quality of life']"
An Abstract Location Model for Mobile Games.,2009,Arxiv,Leif Oppermann,"['Wireless', 'Software', 'Location model']"
An Integrated GPS-supported Outdoor Exploratory Educational Systemâ€”EagleEye,2012,Arxiv,"Morris S. Y. Jong, Eric T. H. Luk, Jimmy H. M. Lee","['Pedagogy', 'Multimedia', 'Global Positioning System']"
Forecasting presence and availability,2004,Human Factors in Computing Systems,"Joe Tullio1, James Bo Begole2, Eric Horvitz3, Elizabeth D. Mynatt1","['2Sun Laboratories, Europe, Saint Ismier, France,', '3Microsoft', 'User modeling']"
DTC: A framework to Detect Traffic Congestion by mining versatile GPS data,2013,Arxiv,"Anand Gupta, Sajal Choudhary, Shachi Paul","[""Traffic congestion reconstruction with Kerner's three-phase theory"", 'Traffic congestion', 'Simulation']"
Feature extraction from sensor data streams for real-time human behaviour recognition,2007,European Conference on Principles of Data Mining and Knowledge Discovery,"Julia Hunter, Martin Colley","['Unsupervised learning', 'Machine learning', 'Feature extraction']"
me-Commerce: An Infrastructure for Personal Predictive Mobile Commerce,2006,International Conference on Mobile Business,"Andreas Komninos, Peter Barrie, Julian Newman, Stuart Landsburgh","['Spatial contextual awareness', 'Radio access network', 'Mobile technology']"
Two-Stage user mobility modeling for intention prediction for location-based services,2006,Intelligent Data Engineering and Automated Learning,"Moon-Hee Park, Jin-Hyuk Hong, Sung-Bae Cho","['User modeling', 'User assistance', 'Simulation']"
Predicting user movement for advanced location-aware services,2007,"International Conference on Software, Telecommunications and Computer Networks","Marin Vukovic, Ignac Lovrek, Dragan Jevtic","['Service-oriented architecture', 'Mobile computing', 'Location awareness']"
Mining trips from telematics dataset for value-added logistics applications in asset tracking systems,2009,"International Conference on Service Operations and Logistics, and Informatics","Qing Cao, Patricia D. Mackenzie, Joseph J. Salvo","['Wireless sensor network', 'Tracking system', 'Telematics']"
Unsupervised Indoor Localization with Motion Detection,2015,Contexts,"Yaqian Xu, Linglong Meng, Klaus David","['Natural language processing', 'Motion detection', 'Mobile device']"
Mobility prediction in mobile ad hoc networks using neural learning machines,2016,Simulation Modelling Practice and Theory,Lahouari Ghouti,"['Vehicular ad hoc network', 'Quality of service', 'Optimized Link State Routing Protocol']"
Welcome to the special issue on memory and sharing of experience for the Journal of Personal and Ubiquitous Computing,2007,Ubiquitous Computing,"Kenji Mase1, Yasuyuki Sumi2, Sidney S. Fels3","['2Kyoto University,', '3University of British Columbia', 'Ubiquitous computing']"
Devices: A Comparative Study,2006,Arxiv,"Jingtao Wang, John Canny","['Humanâ€“computer interaction', 'Geography', 'Advances in Location-Based Services (LBS) are opening opportunities for using the location of people, places, and things to augment or streamline interaction. While computers work with physical locations like latitude and']"
Extracting Hotspots without A-priori by Enabling Signal Processing over Geospatial Data,2017,Advances in Geographic Information Systems,"Vaibhav Kulkarni, Arielle Moro, Bertil Chapuis, BenoÃ®t Garbinato","['User information', 'Signal processing', 'Personalization']"
Automated urban location annotation on mobile records,2013,Fuzzy Systems and Knowledge Discovery,"Wenhao Huang1, Man Li2, Weisong Hu2, Guojie Song1, Kunqing Xie1","['2NEC Labs, China', 'Semantic HTML', 'Mobile telephony']"
IOHMM for location prediction with missing data,2015,IEEE International Conference on Data Science and Advanced Analytics,"Jiawei Hu, Yanfeng Wang, Ya Zhang","['Urban planning', 'Service provider', 'Missing data']"
Detecting Stop Episodes from GPS Trajectories with Gaps,2017,Arxiv,"Sungsoon Hwang1, Christian Evans2, Timothy Hanke2","['2Midwestern University', 'Travel behavior', 'Trajectory']"
User-Centric Offloading to WLAN in WLAN/3G Vehicular Networks,2013,Wireless Personal Communications,"SeungSeob Lee, SuKyoung Lee","['Wireless', 'Vehicular ad hoc network', 'User-centered design']"
Holistic PIM: Managing personal information for a nomadic generation,2008,Arxiv,"Andreas Komninos, Lynne Baillie, Peter Barrie","['Personal information manager', 'Personal information management', '+7']"
Correlation of significant places with self-reported state of bipolar disorder patients,2014,International Conference on Wireless Mobile Communication and Healthcare,"Matthia Sabatelli1, Venet Osmani1, Oscar Mayora1, Agnes Gruenerbl2, Paul Lukowicz2","['2German Research Centre for Artificial Intelligence', 'Psychology', 'Psychiatry']"
Mining User Position Log for Construction of Personalized Activity Map,2009,Advanced Data Mining and Applications,"Hui Fang1, Wen-Jing Hsu1, Larry Rudolph2","['2VMware', 'User modeling', 'Phone']"
Exploring ambient visualizations of context information,2010,IEEE International Conference on Pervasive Computing and Communications,"Florian Alt, Alireza Sahami Shirazi, Andreas Kaiser, Ken Pfeuffer, Emre GÃ_rkan","['University of Duisburg-Essen', 'Ubiquitous computing', 'Multimedia']"
WBLS: A signal presence-based Wi-Fi localisation system for mobile devices in smart environments,2009,Intelligent Agents,"AndrÃ© Iasi Moura1, Carlos Henrique Costa Ribeiro2, Anna Helena Reali Costa3","['2Instituto TecnolÃ_gico de AeronÃ¡utica,', '3University of SÃ£o Paulo', 'Wireless network']"
Minimising the Context Prediction Error,2007,Vehicular Technology Conference,"Stephan Sigg, Sandra Haseloff, Klaus David","['Ubiquitous computing', 'Software quality', 'Software architecture']"
Real-Time Visualization of Moving Objects,2015,International Conference on Cyber-Physical Systems,"Patricia Ortal, Shinpei Kato, Masato Edahiro","['Web application', 'Visualization', 'Visual analytics']"
Time geography inverted: recognizing intentions in space and time,2010,Advances in Geographic Information Systems,"Peter Kiefer1, Martin Raubal2, Christoph Schlieder1","['2University of California, Santa Barbara', 'Time geography', 'Spacetime']"
Avatar and Agent based Virtual Dialogue Interface for Soft Interaction,2004,Transactions of The Japanese Society for Artificial Intelligence,"Takahiro Kudo, Jun Ozawa, Mototaka Yoshioka","['Multimedia', 'Humanâ€“computer interaction', '+1']"
A Bayesian Filter Approach to Modelling Human Movement Patterns for First Responders within Indoor Locations,2011,Intelligent Networking and Collaborative Systems,"Eoghan Furey, Kevin Curran, Paul Mc Kevitt","['Wireless network', 'Tracking system', 'Simulation']"
Learning Trajectory Information with Neural Networks and the Markov Model to Develop Intelligent Location-Based Services,2006,Journal of Information & Knowledge Management,"Sang-Jun Han, Sung-Bae Cho","['Trajectory', 'Markov model', 'Markov chain']"
MarkIt: Community Play and Computation to Generate Rich Location Descriptions through a Mobile Phone Game,2010,Hawaii International Conference on System Sciences,"Ketan Patel, Mohamed Ismail, Sara Motahari, David J. Rosenbaum, Stephen T. Ricken","['New Jersey Institute of Technology', 'Test data generation', 'Software deployment']"
Learning driving patterns to support navigation,2004,Arxiv,Dijan MitroviÄ‡,"['Engineering', 'CITE', 'share']"
Groupanizer: a method to enhance groupware application using multi-users position prediction,2005,Arxiv,"Jean Olivier Caron, Yoshihiro Kawahara, Hiroyuki Morikawa, Tomonori Aoyama","['Workflow', 'Support group', 'Software']"
Adaptive user movement prediction for advanced location-aware services,2009,"International Conference on Software, Telecommunications and Computer Networks","Marin Vukovic, Goran Vujnovic, Darko Grubisic","['Upgrade', 'Real-time computing', 'Mobile telephony']"
When Will You Be at the Office? Predicting Future Locations and Times,2010,"Mobile Computing, Applications, and Services","Ingrid Burbey, Thomas L. Martin","['Symbol', 'Markov model', 'Markov chain']"
Clustering approach for user location data privacy in telecommunication services,2016,"International Convention on Information and Communication Technology, Electronics and Microelectronics","Marin Vukovic1, Mario Kordic2, Dragan Jevtic1","['2Ministry of Interior', 'Knowledge management', 'Information privacy']"
Mobility prediction and location management based on data mining,2012,Arxiv,"Mehammed Daoui, Malika Belkadi, Lynda Chamek, Mustapha Lalam, Sofiane Hamrioui","['Lab. de Eecherche en Inf., Univ. Mouloud Mammeri de Tizi Ouzou, Tizi Ouzou, Algeria', 'Mobility model', 'Mobile search']"
How Near Is Near: A Case Study of the Minimum Distance to Distinguish Neighbouring Places in Place Learning Using Wi-Fi Signals,2016,Vehicular Technology Conference,"Yaqian Xu, Doan Duong, Klaus David","['Machine learning', 'Global Positioning System', 'Fingerprint recognition']"
Understanding People's Place Naming Preferences in Location Sharing,2009,Arxiv,"Jialiu Lin, Jason Hong, Norman Sadeh","['Multimedia', 'Location-based service', '+4']"
